INSTRUCTION,RESPONSE
"Задължителeн компонент на всички клетки e: лизозомата, клетъчната мембрана, ендоплазмената мрежа, ядрото?",клетъчната мембрана
"Кое твърдение е вярно за ендоцитозата? За процеса е необходима енергия., Извършва се само през белтъчни канали на клетъчната мембраната., Веществата преминават през пори на клетъчната мембраната., Необходими са специфични белтъци преносители.?",За процеса е необходима енергия.
"За гликолизата е вярно, че: е анаеробен метаболитен път, протича само в еукариотни клетки, е цикличен метаболитен път, протича само в прокариотни клетки?",е анаеробен метаболитен път
"В кои клетъчни структури се извършва синтез на ДНК? рибозоми, лизозоми, комплекс на Голджи, клетъчно ядро?",клетъчно ядро
"Кое твърдение е вярно за рибозомите? Образуват се в ядрото при всички типове клетки., Те са едномембранни органели., Участват при синтезата на белтъци., Характерни са само за еукариотните клетки.?",Участват при синтезата на белтъци.
"АТФ се синтезира в: ендоплазмената мрежа, рибозомите, хлоропластите, апарата на Голджи?",хлоропластите
"Ако телесна клетка с диплоиден набор хромозоми (2n = 12) се раздели чрез митоза, то в резултат ще се получат: 2 клетки с по 6 хромозоми, 4 клетки с по 12 хромозоми, 2 клетки с по 12 хромозоми, 4 клетки с по 6 хромозоми?",2 клетки с по 12 хромозоми
"Мутациите, за разлика от модификациите: представляват приспособителни изменения, не се унаследяват от потомството, имат групов характер, променят генофонда на популацията?",променят генофонда на популацията
"Промяна в структурата на хромозомите може да бъде предизвикана от: хромозомна мутация, модификация, репликация, генна мутация?",хромозомна мутация
"Пример за взаимодействие между алелите на един и същи ген е: полимерното взаимодействие, епистатичното взаимодействие, комплементарното взаимодействие, пълното доминиране?",пълното доминиране
"Предимство на половото пред безполовото размножаване е това, че води до: адаптиране към среда с постоянни условия, запазване на белезите на родителите, разнообразие на поколението, еднообразие на поколението?",разнообразие на поколението
"Кой от изброените процеси е в основата на безполовото размножаване при животните? мейоза, митоза, гаметогенеза, оплождане?",митоза
"В скални пластове палеонтолози открили два вида фосили (вкаменелости) на гръбначни животни. Установено било, че единият вид фосили е на  представители на ранни влечуги. Другият вид фосили, намерени в по-дълбоко  разположени скални пластове, най-вероятно са от: плацентни бозайници, торбести бозайници, земноводни, птици?",земноводни
"Приспособление за преживяване при ниски температури е: сгъстяването на козината при бозайниците, нощната активност при някои грабливи птици, линеенето (смяната на люспестата обвивка) при змиите, отделянето на слузест секрет върху кожата на земноводните?",сгъстяването на козината при бозайниците
"Биотопът и биоценозата са съставни части на: екосистемата, фитоценозата, популацията, консорцията?",екосистемата
"В резултат от жизнената дейност на растенията: биосферата намалява първичната си продуктивност, литосферата се насища с минерални соли, атмосферата се обогатява с кислород, хидросферата обеднява на азот?",атмосферата се обогатява с кислород
"Гликогенът в мускулните клетки: е източник на НАДФ, има опорна функция, служи като резерв на глюкоза, изгражда миофибрилите?",служи като резерв на глюкоза
"Белтъците в клетката: се синтезират в клетъчното ядро, съхраняват наследствената информация, са основен източник на енергия, изграждат клетъчните структури?",изграждат клетъчните структури
"За вирусите е вярно, че: извършват обмяна на вещества с околната среда, непрекъснато растат и се развиват, имат клетъчен строеж, притежават своя наследствена програма?",притежават своя наследствена програма
"Апаратът на Голджи е клетъчен органел, свързан със: разграждане на въглехидрати, секреция на вещества, синтеза на белтъци, спирализация на хроматина?",секреция на вещества
"Кой от изброените процеси е анаболитен? денатурация, гликолиза, репликация, ферменатация?",репликация
"Броят на хромозомите в клетките намалява наполовина при процеса: митоза, амитоза, мейоза, оплождане?",мейоза
"Клетка, която съдържа само по една хромозома от всяка хомоложна двойка, наричаме: хаплоидна, полиплоидна, анеуплоидна, диплоидна?",хаплоидна
"Модификациите, за разлика от мутациите: се унаследяват, засягат генетичния материал, са обратими фенотипни изменения, нямат приспособителен характер?",са обратими фенотипни изменения
"Полово размножаване се среща: само при растенията, само при животните и при човека, само при едноклетъчните организми, при представители на всички групи многоклетъчни организми?",при представители на всички групи многоклетъчни организми
"Общ белег на сперматозоидите и яйцеклетките на човека е, че: имат хаплоиден брой хромозоми, се движат с камшиче или с реснички, преминават през еднакви фази при образуването си, са диплоидни клетки?",имат хаплоиден брой хромозоми
"Последователността на процесите в зародишното развитие на многоклетъчните организми е следната: дробене → органогенеза → гаструлация, органогенеза → гаструлация → дробене, дробене → гаструлация → органогенеза, органогенеза → дробене → гаструлация?",дробене → гаструлация → органогенеза
"Етологичният критерий за определяне на вида се основава на сходство в: ареала на разпространение, броя на хромозомите, поведението на индивидите, анатомичното устройство?",поведението на индивидите
"Според Дарвин, приликите във външния вид на акулата и на делфина, са резултат от: междувидова борба за съществуване, дивергенция, вътревидова борба за съществуване, конвергенция?",конвергенция
"За генотипа е вярно, че е: съвкупност от проявените признаци на един индивид, характерен само за бактериите, съвкупност от всички гени на един индивид, характерен само за полово размножаващите се организми?",съвкупност от всички гени на един индивид
"Появата на еукариотни клетки в хода на еволюцията, е пример за: ароморфоза, идиоадаптация, катаморфоза, морфо-физиологичен регрес?",ароморфоза
"Към коя група доказателства за еволюцията се отнася сходството в структурните части на скелета при гръбначните животни? сравнителнофизиологични, палеонтологични, сравнителноанатомични, сравнителноембриологични?",сравнителноанатомични
"С термина антропогенеза, се означава: индивидуалното развитие на животните, индивидуалното развитие на човека, еволюционното развитие на човека, еволюционното развитие на организмовия свят?",еволюционното развитие на човека
"Представителите на отделните раси на вида Homo sapiens се различават по: цвета на кожата, броя на хромозомите в кариотипа, функционирането на щитовидната жлеза, средния обем на черепната кухина?",цвета на кожата
"Приспособление за преживяване при ниски температури при растенията, е образуването на: листа с широка листна петура, плодове, покрити с восъчен налеп, многобройни устица в епидермиса, плътни люспи, покриващи пъпките?","плътни люспи, покриващи пъпките"
"Екосистемата представлява единство на: микробоценоза и фитоценоза, биотоп и зооценоза, фитоценоза и зооценоза, биотоп и биоценоза?",биотоп и биоценоза
"Кислородът в атмосферата е резултат от процеса: хидролиза, транспирация, окисление, фотосинтеза?",фотосинтеза
"Секретът, предпазващ перата на птиците от намокряне, съдържа предимно: липиди, белтъци, аминокиселини, въглехидрати?",липиди
"Наследствената информация в клетките е записана в молекулите на: РНК, НАДФ, АТФ, ДНК?",ДНК
"При изследване на човек за СПИН, вирусите, причиняващи заболяването, могат да се открият в клетки на: бронхите, главния мозък, кръвта, черния дроб?",кръвта
"Еукариотните клетки, за разлика от прокариотните, имат: мембранни органели, рибозоми, клетъчна мембрана, цитоплазма?",мембранни органели
"Рибозомите участват в синтезата на: липиди, въглехидрати, нуклеинови киселини, белтъци?",белтъци
"Кой от изброените процеси е катаболитен? цикъл на Калвин, репликация, транскрипция, гликолиза?",гликолиза
"Чрез митотично делене на диплоидни клетки в многоклетъчните организми се  образуват: женски гамети, хаплоидни клетки, телесни клетки, мъжки гамети?",телесни клетки
"Клетка, която съдържа по две хромозоми на всяка хомоложна двойка, наричаме: хаплоидна, анеуплоидна, диплоидна, полиплоидна?",диплоидна
"Мутациите, за разлика от модификациите: имат масов характер, засягат генетичния материал, са обратими фенотипни изменения, не се унаследяват?",засягат генетичния материал
"Постоянството на броя хромозоми в клетките на всяко следващо поколение при видовете с полово размножаване, се осигурява от процесите: рекомбинация и полиплоидия, кросинговър и еуплоидия, спирализация и анеуплоидия, мейоза и оплождане?",мейоза и оплождане
"За зрелите сперматозоиди и яйцеклетки при човека е вярно, че: имат еднакъв брой хромозоми, преминават еднакви фази през гаметогенезата, се образуват само чрез митоза, имат приблизително еднакви размери?",имат еднакъв брой хромозоми
"Следзародишното развитие на животните започва с: излюпването или раждането, оплождането на яйцеклетката, гаструлацията на бластулата, дробенето на зиготата?",излюпването или раждането
"Морфологичният критерий за вида се основава на сходство в: поведението при размножаване, химичния състав на клетките, ареала на разпространение, устройството на тялото?",устройството на тялото
"Най-малката единица за еволюция (елементарна еволюционна единица) е: популацията, видът, екосистемата, отделният индивид?",популацията
"Микроеволюцията е еволюционен процес, който може да доведе до образуване на нови: царства, типове, видове, родове?",видове
"Появата на половия процес в еволюцията, е пример за: конвергенция, идиоадаптация, ароморфоза, катаморфоза?",ароморфоза
"Еволюционното развитие на човека се означава като: антропогенеза, онтогенеза, дивергенция, конвергенция?",антропогенеза
"Представителите на различните раси на вида Homo sapiens: имат еднакъв кариотип, си приличат по формата на очната цепка, имат еднакъв цвят на кожата, си приличат по големината и формата на носа?",имат еднакъв кариотип
"Kое равнище на организация на живата материя се означава като мезосистема? организъм, клетка, популация, биосфера?",организъм
"Антропогенни екологични фактори са: взаимодействията между индивидите от различни видове, факторите на неживата природа, взаимодействията между индивидите на един вид, въздействията на човека върху организмите и средата?",въздействията на човека върху организмите и средата
"Пространствена, демографска и генетична структура са характерни за: рода, вида, индивида, популацията?",популацията
"Екосистемата е единство от: биоценоза и биотоп, популации на един и същ вид, фитоценоза и зооценоза, индивиди на един и същ вид?",биоценоза и биотоп
"Етажността в биоценозата се определя от: хоризонталното разпределение на растителните видове, вертикалното разпределение на растителните видове, подвижността на животинските видове, разнообразието на животинските видове?",вертикалното разпределение на растителните видове
"Невестулките унищожават мишки, жаби, гущери и др. Това е форма на: социално поведение, изследователско поведение, полово поведение, хранително поведение?",хранително поведение
"Залежите от каменни въглища са част от: стратосферата, хидросферата, атмосферата, биосферата?",биосферата
"Основна причина за киселинните дъждове е увеличеното съдържание в атмосферата  на: CO2, водни пари, серни оксиди, прах?",серни оксиди
"Фигурата изобразява: кръговрат на вещества, поток на енергия, хранителна верига, екологична пирамида?",кръговрат на вещества
"Кои от изброените съединения НЕ са биополимери? нуклеинови киселини, белтъци, полизахариди, липиди?",липиди
"За РНК е вярно, че: участва в синтезата на белтъци, има хомополимерен строеж, се съдържа само в еукариотните клетки, изпълнява енергийна функция?",участва в синтезата на белтъци
"Митохондриите са клетъчни органели, които имат: двумембранен строеж и синтезират въглехидрати, едномембранен строеж и синтезират белтъци, едномембранен строеж и разграждат липиди, двумембранен строеж и разграждат въглехидрати?",двумембранен строеж и разграждат въглехидрати
"Пластиди се съдържат в клетки на: бактерии, гъби, растения, животни?",растения
"Както прокариотните, така и еукариотните клетки притежават: комплекс (апарат) на Голджи, митохондрии, рибозоми, ендоплазмена мрежа?",рибозоми
"Свързването на нуклеотиди в полинуклеотидни вериги се осъществява по време на  клетъчните процеси, при които се синтезират: белтъци, въглехидрати, нуклеинови киселини, липиди?",нуклеинови киселини
"Цикълът на Кребс е клетъчен процес, при който се разгражда: глюкоза до пирогроздена киселина и протича в цитозола, глюкоза до млечна киселина и протича в цитозола, ацетил-КоА до CO2 и HАДН2 и протича в митохондриите, глюкоза до етилов алкохол и протича в цитозола?",ацетил-КоА до CO2 и HАДН2 и протича в митохондриите
"Фотосинтетично фосфорилиране се извършва по време на: цикъла на Кребс, цикъла на Калвин, гликолизата, светлинната фаза на фотосинтезата?",светлинната фаза на фотосинтезата
"Митозата, за разлика от мейозата включва: формиране на хромозоми, образуване на делително вретено, получаване на дъщерни клетки с хромозомен набор, еднакъв с майчината клетка, съкращаване на нишките на делителното вретено?","получаване на дъщерни клетки с хромозомен набор, еднакъв с майчината клетка"
"Цветът, семето и плодът на покритосеменните растения са примери за: растителни клетки, растителни тъкани, вегетативни органи, размножителни органи?",размножителни органи
"При кое кръстосване се проследява едновременното унаследяване на два белега? монохибридно, трихибридно, дихибридно, полихибридно?",дихибридно
"Мутациите са: обратими изменения, ненаследствени изменения, наследствени изменения, групови изменения?",наследствени изменения
"Взаимодействие между алели на един ген, при което в хетерозиготните индивиди се  проявява белегът на единия родител, е: пълно доминиране, непълно доминиране, комплементарно взаимодействие, полимерно взаимодействие?",пълно доминиране
"Кое от изброените равнища на организация на живата материя е компонент на  микросистемата? надмолекулен комплекс, организъм, екосистема, популация?",надмолекулен комплекс
"Количеството на екологичен фактор, което потиска развитието на даден организъм,  се нарича: екологичен максимум, екологичен песимум, екологичен минимум, екологичен оптимум?",екологичен песимум
"Ако в една популация броят на младите и полово зрелите индивиди преобладава над  броя на възрастните, то тази популация е: нарастваща, изчезваща, намаляваща, стабилна?",нарастваща
"Кръговратът на веществата и потокът на енергията са процеси, които протичат в: биоценозата, организма, популацията, екосистемата?",екосистемата
"Дъбово дърво и организмите, свързани с него образуват: екосистема, синузия, консорция, популация?",консорция
"Някои видове сомове носят оплодения хайвер в устата си. Това е форма на: социално поведение, изследователско поведение, полово поведение, родителско поведение?",родителско поведение
"Единството от всички живи организми на Земята и заобикалящата ги нежива  природа образува: биосфера, екосистема, биотоп, биоценоза?",биосфера
"Разрушаването на озоновия слой може да стане причина за появата на: кожно-онкологични заболявания, заболявания на дихателната система, инфекциозни заболявания, паразитни заболявания?",кожно-онкологични заболявания
"Най-разпространените химични елементи в живите организми са: P и S, C, H, O и N, Cu, Zn и F, Mn и Co?","C, H, O и N"
"Кои функционални групи на аминокиселините участват в образуването на  пептидната връзка? –СН3  и  –NH2, –OH  и  –CHO, –NH2  и  –COOH, –ОН  и  –SH?",–NH2  и  –COOH
"Нуклеотидите са мономери на: нуклеиновите киселини, полизахаридите, белтъците, дизахаридите?",нуклеиновите киселини
"Определете вярното съответствие между клетъчна структура и нейната функция. лизозома – синтез на липиди, ендоплазмена мрежа – фотосинтеза, комплекс на Голджи – синтез на АТФ, рибозома – синтез на белтъци?",рибозома – синтез на белтъци
"Както хлоропластите, така също и митохондриите: са едномембранни органели, извършват фотосинтеза, синтезират АТФ, са характерни за прокариотните клетки?",синтезират АТФ
"Ролята на матрица в процеса транскрипция изпълнява: рРНК, иРНК, тРНК, ДНК?",ДНК
"Репликацията е процес, при който се синтезират: полизахариди, ДНК, РНК, белтъци?",ДНК
"Гликолизата: е свързана със синтез на АТФ, е универсален анаболитен път, води до синтез на глюкоза, протича в хлоропластите?",е свързана със синтез на АТФ
"Типът обмяна на вещества, характерен за човешкия организъм, е: анаеробен и автотрофен, аеробен и хетеротрофен, анаеробен и хетеротрофен, аеробен и автотрофен?",аеробен и хетеротрофен
"Какъв е броят на хромозомите в половите клетки на човека (в норма)? 32, 23, 64, 46?",23
"Събитие, характерно само за мейоза, но не и за митоза, е: образуването на хромозоми, протичането на кросинговър, получаването на дъщерни клетки, разрушаването на ядрената обвивка?",протичането на кросинговър
"Определете вярната йерархична последователност на структурите в мезосистемата. тъкан › орган › система от органи › организъм, орган › тъкан › система от органи › организъм, организъм › клетка › орган › система от органи, клетка › тъкан › организъм › система от органи?",тъкан › орган › система от органи › организъм
"Алел, който се проявява фенотипно както в хомозиготно, така и в хетерозиготно  състояние, наричаме: доминантен, комплементарен, рецесивен, епистатичен?",доминантен
"При кой тип неалелно взаимодействие на гените във F1 се появява нов белег? комплементарно, модифициращо, полимерно, епистатично?",комплементарно
"Взаимоотношенията между организмите сe определят като: биотични фактори, антропогенен фактор, биогенни фактори, абиотични фактори?",биотични фактори
"Определете НЕВЯРНОТО твърдение. Биоценозата включва популации на различни видове., Популацията е съвкупност от индивиди на различни видове., Биосферата обединява всички екосистеми., Екосистемата е единство от биотоп и биоценоза.?",Популацията е съвкупност от индивиди на различни видове.
"Мъжката риба бодливка прави гнездо от подводна растителност, в което привлича женската, а по-късно охранява хайвера до излюпването на малките рибки. Това е  пример за: изследователско поведение, хранително поведение, размножително поведение, социално поведение?",размножително поведение
"Кое свойство е присъщо на екосистемите? раждаемост, продуктивност, дразнимост, смъртност?",продуктивност
"При кой процес в атмосферата НЕ се отделя въглероден диоксид? вулканична дейност, дишане, фотосинтеза, горене?",фотосинтеза
"Кой от записаните химични елементи е микроелемент за клетката? P, N, Cu, C?",Cu
"Определете вярното съотношение. нуклеотид – ДНК, α-аминокиселина – липид, α-аминокиселина – въглехидрат, нуклеотид – белтък?",нуклеотид – ДНК
"Хлоропластите и митохондриите са: едномембранни органели, характерни за прокариотните клетки, двумембранни органели, характерни за еукариотните клетки, немембранни органели, характерни за прокариотните клетки, специализирани органели, характерни за всички клетки?","двумембранни органели, характерни за еукариотните клетки"
"Общ компонент за прокариотните и еукариотните клетки е: апаратът на Голджи, ядърцето, ендоплазмената мрежа, цитоплазмата?",цитоплазмата
"Преносът на аминокиселини чрез тРНК до рибозомите става по време на клетъчен процес, при който се синтезират: въглехидрати, нуклеинови киселини, белтъци, липиди?",белтъци
