Question,Tag
A binary search tree is used to locate the number 43 Which of the following probe sequences are possible and which are not Explain a 61 52 14 17 40 43 b 2 3 50 40 60 43 c 10 65 31 48 37 43 d 81 61 52 14 41 43 e 17 77 27 66 18 43  ,Binary Search Tree
A binary search tree is generated by inserting in order the following integers 50 15 62 5 20 58 91 3 8 37 60 24 The number of nodes in the left subtree and right subtree of the root respectively is 4 7 7 4 8 3 3 8  ,Binary Search Tree
A binary search tree contains the numbers 1 2 3 4 5 6 7 8  When the tree is traversed in pre order and the values in each node printed out the sequence of values obtained is 5 3 1 2 4 6 8 7 If the tree is traversed in post order the sequence obtained would be 8 7 6 5 4 3 2 1 1 2 3 4 8 7 6 5 2 1 4 3 6 7 8 5 2 1 4 3 7 8 6 5 ,Binary Search Tree
A Binary Search Tree BST stores values in the range 37 to 573 Consider the following sequence of keys 81 537 102 439 285 376 305 52 97 121 195 242 381 472 142 248 520 386 345 270 307 550 149 507 395 463 402 270 Suppose the BST has been unsuccessfully searched for key 273 Which all of the above sequences list nodes in the order in which we could have encountered them in the search II and III only I and III only III and IV only III only ,Binary Search Tree
 Insert the following keys one by one into a binary search tree in the order specified      15 32 20 9 3 25 12 1 Show the final binary search tree after the insertions  Draw the binary search tree after deleting 15 from it  Complete the statements S1 S2  and S3 in the following function so that the function computes the depth of a binary tree rooted at t ypedef struct tnode int key struct tnode left right Tree int depth Tree t int x y it t NULL return 0 x depth t gt left S1 ___________ S2 if x gt y return __________ S3 else return _______ ,Binary Search Tree
What is the number of binary trees with 3 nodes which when traversed in post order give the sequence A B C Draw all these binary trees ,Binary Tree
State whether the following statements are TRUE or FALSE It is possible to construct a binary tree uniquely whose pre order and post order traversals are given ,Binary Tree
State whether the following statements are TRUE or FALSE If the number of leaves in a tree is not a power of 2 then the tree is not a binary tree ,Binary Tree
Prove by the principal of mathematical induction that for any binary tree in which every non leaf node has 2 descendants the number of leaves in the tree is one more than the number of non leaf nodes ,Binary Tree
In the balanced binary tree in the below figure how many nodes will become unbalanced when a node is inserted as a child of the node u201cg u201d 1 3 7 8  ,Binary Tree
If the binary tree in figure is traversed in inorder then the order in which the nodes will be visited is ______ ,Binary Tree
Construct a binary tree whose preorder traversal is K L N M P R Q S T and inorder traversal is N L K P R M S Q T ,Binary Tree
Consider the binary tree in the figure below Outline  a procedure in Pseudo code to delete an arbitrary node from such a binary tree with n nodes that preserves the structures What is the worst case time complexity of your procedure ,Binary Tree
Consider the binary tree in the figure below Give different steps for deleting the node with key 5 so that the structure is preserved ,Binary Tree
A rooted tree with 12 nodes has its nodes numbered 1 to 12 in pre order When the tree is traversed in post order the nodes are visited in the order 3 5 4 2 7 8 6 10 11 12 9 1 Reconstruct the original tree from this information that is find the parent of each node and show the tree diagrammatically ,Binary Tree
A binary tree T has n leaf nodes The number of nodes of degree 2 in T is log_2 n n 1 n 2 n  ,Binary Tree
A binary search tree contains the value 1 2 3 4 5 6 7 8 The tree is traversed in pre order and the values are printed out Which of the following sequences is a valid output 5 3 1 2 4 7 8 6 5 3 1 2 6 4 8 7 5 3 2 4 1 6 7 8 5 3 1 2 4 7 6 8 ,Binary Tree
 Which of the following sequences denotes the post order traversal sequence of the below tree f e g c d b a g c b d a f e g c d b f e a f e d g c b a  ,Binary Tree
 The weighted external path length of the binary tree in figure is ______ ,Binary Tree
 Consider the binary tree in the figure below  a What structure is represented by the binary tree ,Binary Tree
When a coin is tossed the probability of getting a Head is p 0 lt p lt 1 Let N be the random variable denoting the number of tosses till the first Head appears including the toss where the Head appears Assuming that successive tosses are independent the expected value of N is dfrac 1 p dfrac 1 1 p dfrac 1 p 2 dfrac 1 1 p 2 ,Binomial Distribution
For each element in a set of size 2n an unbiased coin is tossed The 2n coin tosses are independent An element is chosen if the corresponding coin toss was a head The probability that exactly n elements are chosen is frac 2n mathrm C _n 4 n frac 2n mathrm C _n 2 n frac 1 2n mathrm C _n frac 1 2 ,Binomial Distribution
An unbiased coin is tossed repeatedly until the outcome of two successive tosses is the same Assuming that the trials are independent the expected number of tosses is 3 4 5 6 ,Binomial Distribution
A random bit string of length n is constructed by tossing a fair coin n times and setting a bit to 0 or 1 depending on outcomes head and tail respectively The probability that two such randomly generated strings are not identical is frac 1 2 n 1 frac 1 n frac 1 n 1 frac 1 2 n ,Binomial Distribution
The total number of Boolean functions which can be realised with four variables is 4 17 256 65 536 ,Boolean Algebra
The simultaneous equations on the  Boolean  variables x y z and w x y z 1 xy 0 xz w 1 xy bar z bar w 0 have the following solution for x y z and w respectively 0 1 0 0 1 1 0 1 1 0 1 1 1 0 0 0  ,Boolean Algebra
Let x_ 1  u2295 x_ 2  u2295 x_ 3  u2295 x_ 4 0 where x_ 1 x_ 2 x_ 3 x_ 4 are Boolean variables and u2295 is the XOR operator Which one of the following must always be TRUE x_ 1 x_ 2 x_ 3 x_ 4 0 x_ 1 x_ 3 x_ 2 0 bar x _ 1  u2295  bar x _ 3  bar x _ 2  u2295  bar x _ 4 x_ 1 x_ 2 x_ 3 x_ 4 0  ,Boolean Algebra
For x in 0 1 let lnot x denote the negation of x that is lnot  x begin cases 1 amp mbox iff x 0 0 amp mbox iff x 1 end cases If x in 0 1 n then lnot x denotes the component wise negation of x that is lnot x _i biggl lnot x_i mid i in 1 n biggr Consider a circuit C computing a function f 0 1 n o 0 1 using AND land OR lor and NOT lnot gates Let D be the circuit obtained from C by replacing each AND gate by an OR gate and replacing each OR gate by an AND Suppose D computes the function g Which of the following is true for all inputs x g x lnot f x g x f x land f lnot x g x f x lor f lnot x g x lnot f lnot x None of the above ,Boolean Algebra
What values of A B C and D satisfy the following simultaneous Boolean equations overline A AB 0 AB AC AB A overline C CD overline C D A 1 B 0 C 0 D 1 A 1 B 1 C 0 D 0 A 1 B 0 C 1 D 1 A 1 B 0 C 0 D 0 ,Boolean Expressions
The truth table X Y X Y 0 0 0 0 1 0 1 0 1 1 1 1   represents the Boolean function X X Y X oplus Y Y ,Boolean Expressions
The function AB C A BC ABC  A B C  AB C  is equivalent to AC  AB A C AB  AC  A C A B AC  AB A B AC AB ,Boolean Expressions
The Boolean expression A oplus B oplus A is equivalent to AB bar A bar B bar A B A bar B B bar A ,Boolean Expressions
Let f w x y z sum left 0 4 5 7 8 9 13 15 right Which of the following expressions are NOT equivalent to f P  x y z w xy wy z xz Q w y z wx y xz R  w y z wx y xyz xy z S x y z wx y w y P only Q and S R and S S only ,Boolean Expressions
Let f A B A B Simplified expression for function f f x y y z is x z xyz xy z None of the above ,Boolean Expressions
Let be defined as x y bar x y Let z x y Value of z x is  bar x y x 0 1  ,Boolean Expressions
If P Q R are Boolean variables then P bar Q P bar Q P R bar P bar R bar Q  simplifies to P bar Q P bar R P bar Q R P bar R Q ,Boolean Expressions
Find values of Boolean variables A B C which satisfy the following equations A B 1 AC BC A C 1 AB 0 ,Boolean Expressions
Define the connective for the Boolean variables X and Y as X Y XY X Y Let Z X Y Consider the following expressions P Q and R P X Y Z Q Y X Z R X Y Z 1 Which of the following is TRUE Only P and Q are valid Only Q and R are valid Only P and R are valid All P Q R are valid ,Boolean Expressions
Consider the following state diagram and its realization by a JK flip flop The combinational circuit generates J and K in terms of x y and Q The Boolean expressions for J and K are overline x oplus y and overline x oplus y  overline x oplus y and x oplus y x oplus y and overline x oplus y x oplus y and x oplus y ,Boolean Expressions
A Boolean function x u2019y u2019 xy x u2019y is equivalent to x y x y x y x y ,Boolean Expressions
 Let be a Boolean operation defined as A B AB overline A overline B If C A B then evaluate and fill in the blanks A A ____ C A ____ Solve the following boolean equations for the values of A B and C AB overline A C 1 AC B 0   ,Boolean Expressions
 Consider the Boolean operator with the following properties x 0 x x 1 overline x x x 0 and x overline x 1 Then x y is equivalent to  x overline y overline x y x overline y overline x overline y overline x y xy xy overline x overline y ,Boolean Expressions
Choose the correct alternatives more than one may be correct and write the corresponding letters only The operation which is commutative but not associative is AND OR EX OR NAND  ,Boolean Operations
When multiplicand Y is multiplied by multiplier X x_ n 1 x_ n 2 dots x_0 using bit pair recoding in Booth s algorithm partial products are generated according to the following table Row xi 1 xi xi 1 Partial Product 1 0 0 0 0 2 0 0 1 Y 3 0 1 0 Y 4 0 1 1 2Y 5 1 0 0 6 1 0 1 Y 7 1 1 0 Y 8 1 1 1 The partial products for rows 5 and 8 are 2Y and Y 2Y and 2Y 2Y and 0 0 and Y ,Booth Recoding
Using Booth s Algorithm for multiplication the multiplier 57 will be recoded as 0 1 0 0 1 0 0 1 1 1 0 0 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1 ,Booths Algorithm
The two numbers given below are multiplied using the Booth s algorithm Multiplicand                             0101 1010 1110 1110 Multiplier                            0111 0111 1011 1101 How many additions Subtractions are required for the multiplication of the above two numbers 6 8 10 12 ,Booths Algorithm
Booth u2019s algorithm for integer multiplication gives worst performance when the multiplier pattern is 101010 u2026 1010 100000 u2026 0001 111111 u2026 1111 011111 u2026 1110  ,Booths Algorithm
Booth s coding in 8 bits for the decimal number 57 is 0 100 1000 0 100 100 1 0 1 100 10 1 00 10 100 1  ,Booths Algorithm
The maximum number of superkeys for the relation schema R E F G H with E as the key is _____ ,Candidate Keys
Given an instance of the STUDENTS relation as shown as below StudentID StudentName StudentEmail StudentAge CPI 2345 Shankar Shankar math X 9 4 1287 Swati swati ee 19 9 5 7853 Shankar Shankar cse 19 9 4 9876 Swati swati mech 18 9 3 8765 Ganesh ganesh civil 19 8 7 For StudentName StudentAge to be a key for this instance the value X should NOT be equal to______ ,Candidate Keys
Consider a relational table with a single record for each registered student with the following attributes ext Registration_Num Unique registration number for each registered student ext UID Unique identity number unique at the national level for each citizen ext BankAccount_Num Unique account number at the bank A student can have multiple accounts or joint accounts This attribute stores the primary account number ext Name Name of the student ext Hostel_Room Room number of the hostel Which of the following options is  INCORRECT A  ext BankAccount_Num is a candidate key B  ext Registration_Num can be a primary key C  ext UID is a candidate key if all students are from the same country D  If S is a super key such that S cap ext UID is ext NULL then S cup ext UID is also a superkey,Candidate Keys
An instance of a relational scheme R A B C has distinct values for attribute A Can you conclude that A is a candidate key for R ,Candidate Keys
A prime attribute of a relation scheme R is an attribute that appears in all candidate keys of R in some candidate key of R in a foreign key of R only in the primary key of R ,Candidate Keys
The total number of prime implicants of the function f w x y z sum 0 2 4 5 6 10 is __________,Canonical Normal Form
The minterm expansion of f P Q R PQ Q bar R P bar R is m_2 m_4 m_6 m_7 m_0 m_1 m_3 m_5 m_0 m_1 m_6 m_7 m_2 m_3 m_4 m_5 ,Canonical Normal Form
Given the function F P QR where F is a function in three Boolean variables P Q and R and P P consider the following statements S1 F sum 4 5 6 S2 F sum 0 1 2 3 7 S3 F Pi 4 5 6 S4 F Pi 0 1 2 3 7 Which of the following is true S1 False S2 True S3 True S4 False S1 True S2 False S3 False S4 True S1 False S2 False S3 True S4 True S1 True S2 True S3 False S4 False ,Canonical Normal Form
Given f_1 f_3 and f in canonical sum of products form in decimal for the circuit f_1 Sigma m 4 5 6 7 8 f_3 Sigma m 1 6 15 f Sigma m 1 6 8 15 hen f_2 is Sigma m 4 6 Sigma m 4 8 Sigma m 6 8 Sigma m 4 6 8 ,Canonical Normal Form
Find the minimum product of sums of the following expression f ABC bar A bar B bar C ,Canonical Normal Form
Consider the following logic circuit whose inputs are functions f_1 f_2 f_3 and output is f Given that f_1 x y z Sigma 0 1 3 5 f_2 x y z Sigma 6 7 and f x y z Sigma 1 4 5 f_3 is  Sigma 1 4 5 Sigma 6 7 Sigma 0 1 3 5 None of the above ,Canonical Normal Form
 A Boolean expression is an expression made out of propositional letters such as p q r and operators wedge vee and eg e g p wedge eg q vee eg r An expression is said to be in sum of product form also called disjunctive normal form if all eg occur just before letters and no vee occurs in scope of wedge e g p wedge eg q vee eg p wedge q The expression is said to be in product of sum form also called conjunctive normal form if all negations occur just before letters and no wedge occurs in the scope of vee e g p vee eg q wedge eg p vee q Which of the following is not correct Every Boolean expression is equivalent to an expression is sum of product form Every Boolean expression is equivalent to an expression in product of sum form Every Boolean expression is equivalent to an expression without vee operator Every Boolean expression is equivalent to an expression without wedge operator Every Boolean expression is equivalent to an expression without eg operator ,Canonical Normal Form
In a look ahead carry generator the carry generate function G_i and the carry propagate function P_i for inputs A_i and B_i are given by P_i A_i oplus B_i ext  and G_i A_iB_i The expressions for the sum bit S_i and the carry bit C_ i 1 of the look ahead carry adder are given by S_i P_i oplus C_i ext and C_ i 1 G_i P_iC_i ext where C_0 ext  is the input carry Consider a two level logic implementation of the look ahead carry generator Assume that all  P_i and G_i are available for the carry generator circuit and that the AND and OR gates can have any number of inputs The number of AND gates and OR gates needed to implement the look ahead carry generator for a 4 bit adder with S_3 S_2 S_1 S_0 and C_4 as  its outputs are respectively 6 3 10 4 6 4 10 5 ,Carry Generator
